Some courses in computer sciences in second semester are on Sunday only. Which ones?,Which cources in computer sciences in second semester are on Sunday?,Web Data Management#Introduction to Information Security#Workshop in Computer Science#Workshop#Seminar in Blockchain#Workshop in algorithms for robot motion planning#Distance measuring between three dimensional surfaces and their assimilation in#Web System and Application Security#Advanced Methods in Machine Learning#Machine Learning Based Algorithms in Structural Biology and Drug Design,Logic for Computer Science,Web Data Management,,,,
There is a lecturer for Discrete Mathematics in second semester. Who is it?,Who is a lecturer for Discrete Mathematics in second semester?,Rani Hod#Amir Rubinstein#Itzhak Tamo#Kinneret Segal#Michal Feldman#Udi Yehuda Peled#Uri Turner#Nissan Levy,,,,,,
There is a Cyber Warfare and Robotics course. On which day does it takes place?,On which day does the Cyber Warfare and Robotics course take place?,1,,,,,,
Cyber Warfare and Robotics should start. On What time?,What time does the Cyber Warfare and Robotics start?,1700,,,,,,
There is a class of Cyber Warfare and Robotics take. How long should it take?,How long does a class of Cyber Warfare and Robotics take?,3,,,,,,
Some lecturers teach Cyber Warfare and Robotics. Who are they?,Which lecturers teach Cyber Warfare and Robotics?,Lior Tabansky,,,,,,
Who is the teacher in the Cyber Warfare and Robotics course?,Who teaches the Cyber Warfare and Robotics course?,Lior Tabansky,,,,,,
 I can take Cyber Warfare and Robotics. When?,When can I take Cyber Warfare and Robotics?,"(1, 1700)",,,,,,
" the course ""Cyber Warfare and Robotics"" - on the first or second semester?",On which semester is Cyber Warfare and Robotics available?,2,,,,,,
What is the name of the course numbered 1052-4011?,What is the full course name of 1052-4011?,Cyber Warfare and Robotics,,,,,,
"there is a course named "" Cyber Warfare and Robotics"". on which faculty?",On which faculty is the Cyber Warfare and Robotics being studied?,Social Sciences,,,,,,
In which building the Cyber Warfare and Robotics class being taght?,In which building does Cyber Warfare and Robotics take place?,Naftali,,,,,,
"the course - ""Cyber Warfare and Robotics""- in what class?",Where is the Cyber Warfare and Robotics class being taught?,Naftali,,,,,,
How many recitation classes Cyber Warfare and Robotics has?,how many recitations Cyber Warfare and Robotics has?,0,,,,,,
Which courses are taught by Yong Yael?,Which courses does Dr. Yong Yael is the lecutrer?,Panoramic Introduction: Ancient Period From Egyptian Art to Late Middle Ages#Dress and Nudity in the Greek and Roman Art: Representing Identities#Introduction to Classical Art: Mythology in Art,,,,,,
Which courses are taught by Dr. Yong Yael at Mexico building?,Which courses does Dr. Yong Yael is the lecturer at Mexico building?,Introduction to Classical Art: Mythology in Art,Dress and Nudity in the Greek and Roman Art: Representing Identities,,,,,
Which courses are on Monday and taught by Dr. Maimon Vered?,Which courses of Vered Maimon are on Monday?,Contemporary Photography,Introduction to Contemporary Art,,,,,
How many courses Dr Mimon Vered teaches on Monday?,In how many courses does Dr. Vered Maimon is a lecturer on Monday?,2,,,,,,
i look for a courses on the first semester that are at Monday at 16:00 till 18:00 of Cyber, Which courses in first semester are on Monday at 16:00 till 18:00 of Cyber ?,,,,,,,
"first semester , Monday at 16:00 - 18:00 which courses of Exact sciences? ", Which courses in first semester are at Monday at 16:00 until 18:00 of Exact sciences ?,"Hydro Politics#Seminar in Selected Topics in Logic in Computer Science#Promoting gender equality in mathematics#Space, Place and Environment: Introduction to the Human Environment#Principles of Organic Synthesis#Workshop in Software Models#Seminar in Remote Sensing and Geographical Information Systems#Calculus 1a#Computational Geometry#Basic Course of GIS Part 2",,,,,,
"Who is the teacher of the course ""Send, Cement and Ideology"" on Monday?","Who teaches the course ""Send, Cement and Ideology"" on Monday?",Stephanie Rotem,,,,,,
"please ' the course number of a course named  ""The Art of Change"" ?","What is the course number of ""The Art of Change""?",0810-5067,,,,,,
"""Introduction to Combinatorics and Graph Theory"" who are the teachers?","Who teaches ""Introduction to Combinatorics and Graph Theory""?",Gal Kronenberg#Limor Friedman#Limor Friedman#Clara Schichlman,,,,,,
"there is a course named ""What is Archaeology?""  and i want to know in what rooms.","In what rooms is the course ""What is Archaeology?"" taught?",281,,,,,,
"what is the location of ""Sound Design 1""","Where ""Sound Design 1"" class is?",Mexico 117,,,,,,
 what is the name of course number 0810-5046 ?,What is the name of course 0810-5046,Possible Worlds in the Philosophy of Science and in the Arts,,,,,,
Is Rubinshtiein Amir doctor? Profesor?,what is the title of Rubinstein Amir,Dr,,,,,,
please - the name of the teacher of the  cello course?,Who teaches Cello course?,Hillel Zori,,,,,,
i want to take a workshop for  Contemporary Music and Students' Composition/ in which semester?,In which semester can I take Workshop for Contemporary Music and Students' Composition ?,1,2,,,,,
Who teaches Methods in Structural Biology?,Who is the lecturer of Introduction to Structural Biology?,Nir Ben Tal#Amit Kessel#Yoel Hirsch#Aya Naronsky,,,,,,
What is the location of Chemistry for Biomedical Engineering ?,In which room is Chemistry for Biomedical Engineering ?,056#104 #205#207,,,,,,
Which courses are taught on Tuesday at 14:00?,Which courses can I take on Tuesday at 14:00?,"Brass Workshop#Advanced English I#Group Dynamics#Digital Art#Topics in Algebraic Reasoning#Calculus 4#Control Laboratory#Modern North Africa: the Challenges of Colonialism and Independence#Accompanying Workshop to Practicum#Introduction to Children\'s Literature and Child Culture#Research Methods in Psychophysiologya#Film Theory-Exercise#Texts in Culture Research -  A Reader#English - Intermediate Level#Sociological Aspects in Educational Administration#Editing Basics Workshop#Advanced English for Students of Social Sciences#A Close Reading in Esther and its Reception Exegesis and History#Romantic Organ Music#Introduction to Functional Analysis#Transmission Electron Microscopy in Materials Science#Baroque Organ Music#Physics- A#Presentations of Cinematic Space#Lied Class#Cinematography Basics Workshop#Molecular Biology and Genetic Engineering#Beginners Portuguese#Critical Reading and Academic Writing Workshop#The Israeli Legal System#Nietzsche and the Jews#Sociology of Palestine 1918-1948#scientific literacy#Classroom Discourse Analysis As a Reflectine Tool for Teachers#Physics - A#Israel? s Hatred and modern Antisemitism#intro. to number theory in the context of cryptography#Mathematical Models and Structures for Semantics#Orthopedic Rehabilitation of the Human Spine and Selected Peripheral Joints#Physical Exercise-From the Sports Fields to the Course of Life#World Masterpieces B#Eros and Sexuality in Islamic Art#Research Project and Theses#Text Analysis, Style and Composition#Introduction to Econometrics#Workshop in Economic Theory#Love and Hatred in Ancient Egypt#Intro.to Second Language Acquisition &amp; Instruction#Pedagogic Content Knowledge in Teaching History#The Human Rights Clinic#Introduction to Astrophysics#Introduction to Renaissance Art - the Painting: Renaissance Art and Theory#Theory of Structures#Modern American Drama#Lives Between Cultures#Research of Acting Methods#Brandom - Linguistic Meaning, Inferential Practice and Social Convention#Walter Benjamin On Language and History#Organizational Behavior-Macro#Organizational Behavior - Micro#Monetary Economics in Israel#Scriptwriting for Short Film#Director designer cooperation B#Circles - Social Involvement Project in Ot Dpt.#Advanced Italian#Modern Europe Departmental Seminar Ii#Mesopotamian Literature and the Bible#The Question of the Composition of the Pentateuch over the Last Fifty Years#Ecology of the Floral of Israel#Economic Children, Economic Childhood#Energy Conversion and Electrical Drive#intuitive eilrs in learning &amp; teaching math#Statistics for Psychologists A#Spss+statistics#Material &amp; Spiritual: Spiritual Meanings of Biological Knowledge#Organic Chemistry#Internship Course Gender Diagnosis and Intervention in Organizations: Theory#Personal Tutorial for Final Project-Cinema#Electrical Signals and Conduction in Cells#Acting 1#The Traditional Chinese Novel#Issues in Neurosciences#Macro Economics-a#Macro Economics-b#skeletal muscles#Modernity and Its Discontent#Modern Europe Departmental Seminar i#Sensuality, Composition and Authorship: an Interdisciplinary Study of Medieval M#mathematics education: practical aspects of students\' way of thinking#Advanced English for Arts Students#Introduction to Geophysics#Languages  Acquistion &amp; Multilingualism#Workshop in Data Science#Evidence Based Nursing Practice#Photoshop#Statistics for Psychologists B#Introduction to Statistics for Economists - B#Introduction to Information Technology#?Lawfare? ? War by Legal Means#Young Women 2.0 ? Their Media images and Web Activities#Chamber Music - 4 Hands/2 Pianos#Selected issues in autism throughout the life cycle#Gender and Modern History#Introduction to Biology C#Sherlock Holmes in Litearture, Cinema and Television#Introduction to Statistics for Economists - A#Manchuria in the Meeting of Empires#Psychoanalysis and Gender#Advanced Computer Structure Lab#Hegel\'s Philosophy of Right#Clinical Applications of Musculoskeletal  Models for Movement#Computer Analysis of Movement, Force and Emg Data#Introduction to the Twentieth Century#Genesis: Origin, Creation and Beginnings in Italian Renaissance Art#The Supreme Court Among the Institutions of Government#Introduction to Statistics and Data Analysis#Anthropology of Religion ? Culture and Beliefs in the Age of Secularization#Programming - Python#Text and image: Kingship in the Ancient Near East and its textual and iconograp#Semantics#Final Screenplay Mentoring#Intuitive Interference in Science &amp; Math: Cognitive Psychology Research Methods#Introductory Mathematics 1 for the Materials-Chemistry Program#Classical Physics 1#Operating Systems#Dramatic Thinking - From Textual Analysis to Stage Application#Who is God and Does he Listen#Introduction to Digital Cinema#Contemporary Political Thought#Workshop#Number Theory#Data Structures and Algorithms#Microbiology#Calculus 3#Is There a Speaker? Theory and Interpretation#Religion, Immigration and Globalization in Cinema#Applied Babylonian Aramaic#Egypt in the First Millennium Bce#Religion, secularization and economics in the history of the West#Computational Models in Cognitive Psychology#The Dead Sea Scrolls#Lifeart#Secrets of the Hearts and Secrets of the Streets: Proverbs and Gnomic Poetry#Advanced Portuguese#Keyboard Harmony#Seminar in Statistics for MSc students#Physics - B#Principles of Management Information Systems for Accountants#Discovering the Sea#Youth At Risk &amp; Socially Excluded#Freud and Beyond: the Evolution of Psychoanalytic Thought#The Practice Approach to Promoting Gender Equality#Reading in Linguistics.#Writing Workshop#Beginners Phonology#Writing, childhood and children: creative writing workshop ? writing for and abo#Introduction to Theory of Elasticity#Motor Learning#Popular Culture and Everyday Life in Contemporary China; Above and Under Ground#Fascism and Antifascism: Italy in the 20th Century: Literature, Cinema &amp; Politcs#Dragons, Demons and Magical Realms: the Marvelous in Jewish Folk Narrative#The Stage Language of Theatre and Dance#Accompanying Workshop to Practicum#Physical Methods in Biology Principles and Applications#Writing and Research for Political Science#Thinking Development in Science &amp; Technology Education#How to Conduct Research in Communication#Web-Based Learning Environment#Ceramic Typology A#Art As Communication, Or: Can We Learn From Pictures?#Speach Production by the Hearing Impaired#Truth and Dialogue#The Clinic for the Rights of Holocaust Survivors and Older Persons#Directing Theater ? Protocls From Courts#Research Seminar in Analysis 2#Research Seminar in Analysis 1#Workshop#Palestinian Cinema: Identity, Space and Memory#Research Seminar for Ma Students - Non Thesis Program#Advanced Laboratory for Digital Signal Processing#Kami, Buddha &amp; What\'s in Between: Japanese Religions#Linguistic Variation in Rabbinic Hebrew#The Riddle of Consciousness: Epistemic and Ontological Aspects#Matlab Programming for Neuroscience#Accompanying Workshop to Practicum#Calculus 2a#Partial Differential Equations#Law and Order in the Ancient Near East#How to Read and Write History of the Middle East#Contemporary American Fiction#Communication Strategy- A#Workshop#Public Opinion,  Polls and Politics#Fluids and Heat Transfer Laboratory#Female Deities in Taiwanese Religion#Advanced English for Students of Life Sciences#Workshop in Prose Translation#Lighting#Orchestration (B)#The New Queer Film#Departmental Seminar#State Representatives in the Courts ? Practical course in the Civil Attorney\'s#Harmony for Composers (A)#Departmental Seminar#Digital Logic Systems#Linear Algebra for Biomedical Engineering#Special Issues in Social Media#Contextualizing the Self: an Interdisciplinary Seminar#Pedagogical Knowledge for Teaching#""apocalypse Now"": the End of Time in Ancient and Late Antique Near East#The Archaeology of Transjordan in the Bronze and Iron Ages#Research Methods in Education Administration#Counterpoint - Palestrina Style (B)#Work and Creation in Progress of the Director#Advanced vocal studies#Random Signals and Noise#From Research to Script#Auditing Financial Reports#Introduction to Health Psychology#Styles in Film Editing 2#On Narcissism#Labor Markets#Performance and Writing Research#Short-term intervention model family and group#Mechanical Behavior of Materials#Counterpoint - Bach Style (A)#Introduction to Metaphysics and Epistemology#Workshop Director - Genres#The Jewish Printing-Press and the Culture of the Book in the Eearly Modern Era#Pragmatics#General Genetics#Introduction to Classic Art: Rome and Judea: Center and Provinces in Roman Art#Design by Digital Media#Introduction to Narratology",,,,,,
which courses Amir Shpilka teachs?,what courses are taught by Amir Shpilka,Research pearls in theoretical computer science 2,Topics in Theory of Computer Science,Advanced Topics in Theory of Computer Science,Computational Complexity,,,
which courses Shpilka teachs?,what courses are taught by Shpilka,Research pearls in theoretical computer science 2,Topics in Theory of Computer Science,Advanced Topics in Theory of Computer Science,Computational Complexity,,,
